,Date,cases,Close
234,07-12-2020,5755.65,5755.65
235,08-12-2020,5758.3,5758.3
236,09-12-2020,5783.8,5783.8
237,10-12-2020,5724.45,5724.45
238,11-12-2020,5742.75,5742.75
239,14-12-2020,5789.9,5789.9
240,15-12-2020,5834.75,5834.75
241,16-12-2020,5905.9,5905.9
242,17-12-2020,5883.2,5883.2
243,18-12-2020,5861.5,5861.5
244,21-12-2020,5536.65,5536.65
245,22-12-2020,5598.5,5598.5
246,23-12-2020,5757.45,5757.45
247,24-12-2020,5741.45,5741.45
248,28-12-2020,5822.8,5822.8
249,29-12-2020,5814.15,5814.15
250,30-12-2020,5830.55,5830.55
